market,country,oecd_code,T,c1,c2,n_mr,n_rw,n_ex,beta_mr,se_mr,beta_ex,se_ex,sig_mr,sig_ex,dc_exp,gfc_mr,covid_mr,current_cci,current_regime,verdict
athex,Greece,GRC,317,99.084,101.595,138,99,80,-0.08179404634799163,0.01947190529097326,0.003678915631810067,0.020678072758663058,***,,89.7,100.0,0.0,98.283,MR,BOTH TAILS
bist100,Turkey,TUR,240,95.168,100.853,16,109,115,0.05735716513182475,0.023283431192023755,-0.034090996407060634,0.012995719038249297,**,***,,71.4,0.0,97.467,RW,FEAR GAUGE
