Date,Open,High,Low,Close,Volume,Adj Close
2015-06-01,6984.399902,7037.600098,6942.700195,6953.600098,1389937800,6953.600098
2015-05-01,6960.600098,7083.700195,6810.100098,6984.399902,868189100,6984.399902
2015-04-01,6773.00,7122.700195,6765.399902,6960.600098,777562800,6960.600098
2015-03-02,6946.700195,7065.100098,6693.799805,6773.00,831441600,6773.00
2015-02-02,6749.399902,6967.200195,6732.00,6946.700195,762007100,6946.700195
2015-01-02,6566.100098,6865.00,6298.200195,6749.399902,783045400,6749.399902
2014-12-01,6722.600098,6753.200195,6144.700195,6566.100098,672144400,6566.100098
2014-11-03,6546.50,6773.100098,6444.899902,6722.600098,755287400,6722.600098
2014-10-01,6622.700195,6622.799805,6072.700195,6546.50,922666400,6546.50
2014-09-01,6819.799805,6904.899902,6601.600098,6622.700195,740890700,6622.700195
2014-08-01,6730.100098,6831.200195,6528.700195,6819.799805,578589800,6819.799805
2014-07-01,6743.899902,6875.299805,6643.600098,6730.100098,612545800,6730.100098
2014-06-02,6844.50,6879.00,6701.600098,6743.899902,636800000,6743.899902
2014-05-01,6780.00,6894.899902,6766.799805,6844.50,753440700,6844.50
2014-04-01,6598.399902,6794.899902,6507.100098,6780.00,813595200,6780.00
2014-03-03,6809.700195,6827.200195,6492.600098,6598.399902,914147000,6598.399902
2014-02-03,6510.399902,6866.399902,6416.700195,6809.700195,911170800,6809.700195
2014-01-01,6749.100098,6867.399902,6421.299805,6510.399902,692800300,6510.399902
2013-12-02,6650.600098,6768.399902,6422.200195,6749.100098,497716300,6749.100098
2013-11-01,6731.399902,6780.100098,6614.00,6650.600098,624726000,6650.600098
2013-10-01,6462.200195,6819.899902,6316.899902,6731.399902,642822600,6731.399902
2013-09-02,6412.899902,6659.100098,6412.899902,6462.200195,760810700,6462.200195
2013-08-01,6621.100098,6696.600098,6386.700195,6412.899902,657870700,6412.899902
2013-07-01,6215.50,6662.200195,6185.200195,6621.100098,670378100,6621.100098
2013-06-03,6583.100098,6583.100098,6023.399902,6215.50,841375900,6215.50
2013-05-01,6430.100098,6875.600098,6409.799805,6583.100098,736621800,6583.100098
2013-04-01,6411.700195,6501.799805,6214.399902,6430.100098,699918300,6430.100098
2013-03-01,6360.799805,6534.00,6308.600098,6411.700195,751963200,6411.700195
2013-02-01,6276.899902,6412.399902,6216.700195,6360.799805,751850400,6360.799805
2013-01-01,5897.799805,6354.50,5897.799805,6276.899902,653272300,6276.899902
2012-12-03,5866.799805,5997.00,5852.899902,5897.799805,487277600,5897.799805
2012-11-01,5782.700195,5921.799805,5605.600098,5866.799805,766306800,5866.799805
2012-10-01,5742.100098,5928.299805,5738.600098,5782.700195,748642500,5782.700195
2012-09-03,5711.50,5932.600098,5634.899902,5742.100098,863149300,5742.100098
2012-08-01,5635.299805,5876.200195,5633.00,5711.50,621700600,5711.50
2012-07-02,5571.200195,5727.50,5478.00,5635.299805,697762100,5635.299805
2012-06-01,5320.899902,5623.899902,5229.799805,5571.200195,919348700,5571.200195
2012-05-01,5737.799805,5819.899902,5253.899902,5320.899902,922627500,5320.899902
2012-04-02,5768.50,5890.200195,5576.399902,5737.799805,871150800,5737.799805
2012-03-01,5871.50,5989.100098,5726.50,5768.50,1008201800,5768.50
2012-02-01,5681.600098,5964.00,5680.700195,5871.50,965794400,5871.50
2012-01-02,5572.299805,5806.200195,5572.299805,5681.600098,944030500,5681.600098
2011-12-01,5505.399902,5631.899902,5328.700195,5572.299805,683717500,5572.299805
2011-11-01,5544.200195,5616.00,5075.200195,5505.399902,1036359600,5505.399902
2011-10-03,5128.50,5747.299805,4868.600098,5544.200195,906418000,5544.200195
2011-09-01,5394.50,5449.700195,4928.100098,5128.50,981462300,5128.50
2011-08-01,5815.200195,5913.50,4791.00,5394.50,1177757800,5394.50
2011-07-01,5945.700195,6084.100098,5752.799805,5815.200195,858334900,5815.200195
2011-06-01,5990.00,5995.200195,5644.399902,5945.700195,920629500,5945.700195
2011-05-02,6069.899902,6103.700195,5810.50,5990.00,856853700,5990.00
2011-04-01,5908.799805,6091.799805,5858.299805,6069.899902,616625600,6069.899902
2011-03-01,5994.00,6052.100098,5591.600098,5908.799805,902998600,5908.799805
2011-02-01,5862.899902,6105.799805,5861.00,5994.00,896660800,5994.00
2011-01-03,5899.899902,6090.50,5815.399902,5862.899902,893930400,5862.899902
2010-12-01,5528.299805,6021.50,5528.299805,5899.899902,608807900,5899.899902
2010-11-01,5675.200195,5902.100098,5519.200195,5528.299805,940158000,5528.299805
2010-10-01,5548.600098,5794.299805,5547.600098,5675.200195,846282400,5675.200195
2010-09-01,5225.200195,5650.299805,5225.200195,5548.600098,858279300,5548.600098
2010-08-02,5258.00,5418.600098,5070.899902,5225.200195,880663100,5225.200195
2010-07-01,4916.899902,5411.50,4790.00,5258.00,989348300,5258.00
2010-06-01,5188.399902,5331.50,4898.50,4916.899902,1167238000,4916.899902
2010-05-03,5553.299805,5566.00,4898.50,5188.399902,1458301300,5188.399902
2010-04-01,5679.600098,5833.700195,5533.600098,5553.299805,1024344500,5553.299805
2010-03-01,5354.50,5742.799805,5354.50,5679.600098,1136370100,5679.600098
2010-02-01,5188.50,5395.50,5033.00,5354.50,1357714200,5354.50
2010-01-01,5412.899902,5600.50,5145.700195,5188.50,1128246700,5188.50
2009-12-01,5190.700195,5445.200195,5175.700195,5412.899902,896078300,5412.899902
2009-11-02,5044.600098,5397.00,4985.100098,5190.700195,1099827500,5190.700195
2009-10-01,5133.899902,5299.600098,4955.00,5044.600098,1175008400,5044.600098
2009-09-01,4908.899902,5190.00,4776.50,5133.899902,1078838400,5133.899902
2009-08-03,4608.399902,4944.200195,4595.600098,4908.899902,981739400,4908.899902
2009-07-01,4249.200195,4646.899902,4096.100098,4608.399902,1035949000,4608.399902
2009-06-01,4417.899902,4517.600098,4213.399902,4249.200195,1211867400,4249.200195
2009-05-01,4243.700195,4520.799805,4210.799805,4417.899902,1144795500,4417.899902
2009-04-01,3926.100098,4293.600098,3838.199951,4243.700195,1209869000,4243.700195
2009-03-02,3830.100098,3992.399902,3460.699951,3926.100098,1546607800,3926.100098
2009-02-02,4149.600098,4334.00,3760.699951,3830.100098,1314139100,3830.100098
2009-01-01,4434.200195,4675.700195,3956.699951,4149.600098,1314826700,4149.600098
2008-12-01,4288.00,4456.200195,3973.300049,4434.200195,883041400,4434.200195
2008-11-03,4377.299805,4639.50,3734.100098,4288.00,1385633200,4288.00
2008-10-01,4902.50,5052.00,3665.199951,4377.299805,1787070900,4377.299805
2008-09-01,5636.600098,5646.50,4671.00,4902.50,1628039500,4902.50
2008-08-01,5411.899902,5649.100098,5299.700195,5636.600098,1171756000,5636.600098
2008-07-01,5625.899902,5625.899902,5071.100098,5411.899902,1734753100,5411.899902
2008-06-02,6053.50,6074.50,5470.899902,5625.899902,1541399800,5625.899902
2008-05-01,6087.299805,6377.00,6041.100098,6053.50,1134355600,6053.50
2008-04-01,5702.100098,6134.50,5670.399902,6087.299805,1201377200,6087.299805
2008-03-03,5884.299805,5884.299805,5414.399902,5702.100098,1504445600,5702.100098
2008-02-01,5879.799805,6104.50,5681.50,5884.299805,1426953200,5884.299805
2008-01-01,6456.899902,6534.700195,5338.700195,5879.799805,1577848700,5879.799805
2007-12-03,6432.50,6610.899902,6251.799805,6456.899902,942762600,6456.899902
2007-11-01,6721.600098,6723.700195,6026.899902,6432.50,1551392100,6432.50
2007-10-01,6466.799805,6751.700195,6413.399902,6721.600098,1876187700,6721.600098
2007-09-03,6303.299805,6512.399902,6123.100098,6466.799805,1893980500,6466.799805
2007-08-01,6360.100098,6406.299805,5821.700195,6303.299805,1734011500,6303.299805
2007-07-02,6607.899902,6754.100098,6186.200195,6360.100098,1846057600,6360.100098
2007-06-01,6621.399902,6751.299805,6451.399902,6607.899902,1982709200,6607.899902
2007-05-01,6449.200195,6675.00,6395.50,6621.50,1831019300,6621.50
2007-04-02,6308.00,6516.200195,6293.899902,6449.200195,1568513800,6449.200195
2007-03-01,6171.50,6355.299805,5989.600098,6308.00,1937028800,6308.00
2007-02-01,6203.100098,6451.399902,6166.200195,6171.50,1763028600,6171.50
2007-01-01,6220.799805,6335.100098,6130.200195,6203.100098,1697610900,6203.100098
2006-12-01,6048.799805,6271.399902,5985.200195,6220.799805,1236490700,6220.799805
2006-11-01,6129.200195,6256.799805,6011.799805,6048.899902,1690671900,6048.899902
2006-10-02,5960.799805,6244.600098,5897.299805,6129.200195,1661140400,6129.200195
2006-09-01,5906.100098,6002.899902,5774.50,5960.799805,1593479600,5960.799805
2006-08-01,5928.299805,5949.799805,5752.600098,5906.100098,1355133200,5906.100098
2006-07-03,5833.399902,5982.50,5654.600098,5928.299805,1403843100,5928.299805
2006-06-01,5723.799805,5865.700195,5467.399902,5833.399902,1709102100,5833.399902
2006-05-01,6023.100098,6133.50,5510.50,5723.799805,1833539600,5723.799805
2006-04-03,5964.600098,6137.100098,5964.600098,6023.100098,1621001600,6023.100098
2006-03-01,5791.50,6047.00,5783.899902,5964.600098,1991586200,5964.600098
2006-02-01,5760.299805,5893.299805,5681.899902,5791.50,1974727800,5791.50
2006-01-02,5618.799805,5796.100098,5618.799805,5760.299805,1877363300,5760.299805
2005-12-01,5423.200195,5647.200195,5423.200195,5618.799805,1330302900,5618.799805
2005-11-01,5317.299805,5554.899902,5304.899902,5423.200195,1868493900,5423.200195
2005-10-03,5477.700195,5515.00,5130.899902,5317.299805,1739025100,5317.299805
2005-09-01,5296.899902,5508.399902,5296.899902,5477.700195,1553471300,5477.700195
2005-08-01,5282.299805,5386.399902,5228.100098,5296.899902,1300313700,5296.899902
2005-07-01,5113.200195,5308.600098,5022.100098,5282.299805,1791884100,5282.299805
2005-06-01,4964.00,5138.200195,4964.00,5113.200195,1585016100,5113.200195
2005-05-02,4801.700195,5004.299805,4801.700195,4964.00,1467023800,4964.00
2005-04-01,4894.399902,4994.100098,4773.700195,4801.700195,1626241200,4801.700195
2005-03-01,4968.50,5042.00,4886.50,4894.399902,1585113200,4894.399902
2005-02-01,4852.299805,5077.799805,4852.299805,4968.50,1740831400,4968.50
2005-01-03,4814.299805,4879.50,4765.399902,4852.299805,1562173300,4852.299805
2004-12-01,4703.200195,4826.200195,4675.00,4814.299805,1243751800,4814.299805
2004-11-01,4624.200195,4823.799805,4624.200195,4703.200195,1612737500,4703.200195
2004-10-01,4570.799805,4732.899902,4551.600098,4624.200195,1642458600,4624.200195
2004-09-01,4459.299805,4630.700195,4459.299805,4570.799805,1713718700,4570.799805
2004-08-02,4413.100098,4490.100098,4283.00,4459.299805,1370630900,4459.299805
2004-07-01,4464.100098,4487.899902,4283.200195,4413.100098,1644822500,4413.100098
2004-06-01,4430.700195,4535.100098,4400.700195,4464.100098,1616433300,4464.100098
2004-05-03,4489.700195,4573.700195,4363.00,4430.700195,1559020400,4430.700195
2004-04-01,4385.700195,4601.600098,4385.100098,4489.700195,1562558600,4489.700195
2004-03-01,4492.200195,4566.200195,4291.299805,4385.700195,1927805000,4385.700195
2004-02-02,4390.700195,4556.899902,4357.399902,4492.200195,2115330600,4492.200195
2004-01-01,4476.899902,4531.399902,4390.700195,4390.700195,1909817700,4390.700195
2003-12-01,4342.600098,4491.799805,4312.50,4476.899902,1314203700,4476.899902
2003-11-03,4287.600098,4423.600098,4270.50,4342.600098,1803765400,4342.600098
2003-10-01,4091.300049,4393.799805,4091.300049,4287.600098,1839532000,4287.600098
2003-09-01,4161.100098,4329.600098,4081.800049,4091.300049,1938065100,4091.300049
2003-08-01,4157.00,4286.899902,4044.899902,4161.100098,1492636200,4161.100098
2003-07-01,4031.199951,4183.00,3951.50,4157.00,1663719900,4157.00
