market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict
sp500,USA,430,97.05563737373737,100.29756868686869,-0.7608674696367742,-0.00040899821391687666,5,195,230,BOTH TAILS
ftse100,UK,430,97.05563737373737,98.32421919191918,-0.9007596181889637,-0.006059979540316549,5,32,393,BOTH TAILS
dax,Germany,430,97.26706767676767,102.12996464646464,-0.22027329551404498,-1.2888879460648583,9,413,8,FEAR GAUGE
cac40,France,428,97.2657414141414,101.91967474747474,-0.42051313236013166,-0.506415361510402,9,406,13,FEAR GAUGE
nikkei225,Japan,430,97.12611414141413,100.64995252525253,-0.9430763316926984,-0.05047042734397974,7,255,168,BOTH TAILS
shanghai,China,340,97.61304545454544,98.10796666666666,0.00021299743718446708,-0.018276885594313712,12,9,319,BOTH TAILS
hangseng,Hong Kong,430,97.05563737373737,98.46517272727273,-1.0489325753522478,-0.015882280846657573,5,39,386,BOTH TAILS
kospi,South Korea,347,98.81576666666666,100.3697,-0.024163285570293742,0.010673378742229091,54,112,181,BOTH TAILS
nifty50,India,218,97.04736464646464,98.25087878787879,0.7597858950830982,-0.001319207393062248,3,14,201,FEAR GAUGE
tsx,Canada,430,97.33754444444443,102.12996464646464,-0.4077620100498337,-0.1855764738804535,11,411,8,FEAR GAUGE
asx200,Australia,396,97.68462424242423,99.30960909090909,-0.2890317000922856,-0.0042035951820651426,16,91,289,BOTH TAILS
bovespa,Brazil,391,99.09664545454545,102.20615656565657,-0.06703032958313764,-0.8085598238197258,87,299,5,FEAR GAUGE
eurostoxx50,Eurozone,224,97.69341414141415,98.39879797979799,-0.6703509167698951,-0.01152440127214074,9,13,202,FEAR GAUGE
ibex35,Spain,388,97.04674343434344,97.54158686868688,-0.9859317468426856,-0.013233672249605047,5,7,376,BOTH TAILS
smi,Switzerland,420,97.04870505050505,99.30884242424243,-0.43141490569814384,-0.007263663030317159,5,108,307,BOTH TAILS
sti,Singapore,430,96.91468383838384,102.20044141414141,-1.0524359370188308,0.3113385984698038,4,420,6,BOTH TAILS
twse,Taiwan,340,96.83531212121211,98.24937272727273,0.4756809700076357,0.0075854619453803165,3,23,314,BOTH TAILS
jse,South Africa,165,98.47923636363636,100.09650808080808,-0.12698047843538438,-0.054727309304173515,17,54,94,WEAK
aex,Netherlands,397,96.83735353535353,97.33182222222223,-0.166890761558881,-0.010987784733285714,3,7,387,BOTH TAILS
ipc,Mexico,408,97.0466797979798,102.20652626262626,-1.3440019832264993,-0.8997368921440921,5,398,5,FEAR GAUGE
jkse,Indonesia,427,96.84173737373737,100.36845454545455,-1.0864107624005777,0.0012468590213498023,3,201,223,BOTH TAILS
ta125,Israel,397,97.33182222222223,101.85267878787879,-0.2432221042647573,-0.7645948065419998,10,374,13,FEAR GAUGE
klci,Malaysia,383,100.86417474747475,101.35887676767678,-0.030427559096620566,-0.033632456321269516,285,62,36,BOTH TAILS
