market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict
bovespa,Brazil,383,-3.9948,1.3316000000000003,-0.4081558198509695,-0.07221167107930401,8,336,39,FEAR GAUGE
jse,South Africa,157,-3.921484848484848,2.1052181818181825,-1.5349696818443819,-0.5039163752403292,3,149,5,WEAK
klci,Malaysia,375,0.618515151515151,2.185420202020202,-0.03770459016976519,-0.9356045140156061,241,130,4,BOTH TAILS
