date,bci
1996-09-30,99.74734
1996-10-31,99.83916
1996-11-30,99.95417
1996-12-31,100.0804
1997-01-31,100.1997
1997-02-28,100.3052
1997-03-31,100.419
1997-04-30,100.5311
1997-05-31,100.6702
1997-06-30,100.7957
1997-07-31,100.9272
1997-08-31,100.9785
1997-09-30,100.9854
1997-10-31,100.9689
1997-11-30,100.8772
1997-12-31,100.7512
1998-01-31,100.6131
1998-02-28,100.4866
1998-03-31,100.355
1998-04-30,100.1721
1998-05-31,99.97231
1998-06-30,99.79847
1998-07-31,99.63574
1998-08-31,99.43061
1998-09-30,99.19733
1998-10-31,98.99973
1998-11-30,98.90725
1998-12-31,98.92861
1999-01-31,99.03394
1999-02-28,99.15379
1999-03-31,99.25518
1999-04-30,99.39458
1999-05-31,99.5843
1999-06-30,99.77508
1999-07-31,99.9493
1999-08-31,100.1801
1999-09-30,100.4267
1999-10-31,100.6056
1999-11-30,100.7284
1999-12-31,100.8014
2000-01-31,100.8379
2000-02-29,100.8712
2000-03-31,100.8844
2000-04-30,100.8621
2000-05-31,100.8297
2000-06-30,100.7989
2000-07-31,100.7785
2000-08-31,100.7062
2000-09-30,100.6013
2000-10-31,100.4621
2000-11-30,100.2867
2000-12-31,100.035
2001-01-31,99.73531
2001-02-28,99.43536
2001-03-31,99.23975
2001-04-30,99.15001
2001-05-31,99.11047
2001-06-30,99.11021
2001-07-31,99.07301
2001-08-31,98.90083
2001-09-30,98.56013
2001-10-31,98.26308
2001-11-30,98.26891
2001-12-31,98.46707
2002-01-31,98.78629
2002-02-28,99.18673
2002-03-31,99.51945
2002-04-30,99.71674
2002-05-31,99.78783
2002-06-30,99.74895
2002-07-31,99.61454
2002-08-31,99.53671
2002-09-30,99.5351
2002-10-31,99.54564
2002-11-30,99.55098
2002-12-31,99.51202
2003-01-31,99.33097
2003-02-28,99.08784
2003-03-31,98.89732
2003-04-30,98.92521
2003-05-31,99.06644
2003-06-30,99.1909
2003-07-31,99.35562
2003-08-31,99.58171
2003-09-30,99.80401
2003-10-31,100.09
2003-11-30,100.4261
2003-12-31,100.6965
2004-01-31,100.8518
2004-02-29,100.9509
2004-03-31,101.0188
2004-04-30,101.1212
2004-05-31,101.1638
2004-06-30,101.0873
2004-07-31,101.0068
2004-08-31,100.9629
2004-09-30,100.9225
2004-10-31,100.8353
2004-11-30,100.7457
2004-12-31,100.6905
2005-01-31,100.5973
2005-02-28,100.4455
2005-03-31,100.2516
2005-04-30,100.0778
2005-05-31,100.0087
2005-06-30,100.0844
2005-07-31,100.2461
2005-08-31,100.4163
2005-09-30,100.6151
2005-10-31,100.7009
2005-11-30,100.7174
2005-12-31,100.7248
2006-01-31,100.7364
2006-02-28,100.7948
2006-03-31,100.8483
2006-04-30,100.9106
2006-05-31,100.9073
2006-06-30,100.8922
2006-07-31,100.9168
2006-08-31,100.9141
2006-09-30,100.876
2006-10-31,100.8344
2006-11-30,100.8619
2006-12-31,100.9305
2007-01-31,100.9776
2007-02-28,101.0442
2007-03-31,101.0761
2007-04-30,101.0946
2007-05-31,101.0984
2007-06-30,101.0846
2007-07-31,100.9988
2007-08-31,100.8999
2007-09-30,100.8121
2007-10-31,100.7426
2007-11-30,100.7004
2007-12-31,100.6064
2008-01-31,100.4878
2008-02-29,100.3094
2008-03-31,100.1459
2008-04-30,99.97843
2008-05-31,99.86143
2008-06-30,99.74504
2008-07-31,99.50759
2008-08-31,99.03405
2008-09-30,98.22415
2008-10-31,97.22472
2008-11-30,96.31873
2008-12-31,95.67256
2009-01-31,95.37463
2009-02-28,95.30451
2009-03-31,95.5127
2009-04-30,96.0246
2009-05-31,96.61213
2009-06-30,97.17522
2009-07-31,97.72533
2009-08-31,98.20619
2009-09-30,98.55827
2009-10-31,98.8314
2009-11-30,99.02456
2009-12-31,99.26802
2010-01-31,99.57016
2010-02-28,99.84989
2010-03-31,100.1606
2010-04-30,100.3753
2010-05-31,100.4437
2010-06-30,100.4482
2010-07-31,100.496
2010-08-31,100.5768
2010-09-30,100.6746
2010-10-31,100.7964
2010-11-30,100.942
2010-12-31,101.0965
2011-01-31,101.2082
2011-02-28,101.2538
2011-03-31,101.214
2011-04-30,101.0694
2011-05-31,100.8334
