date,cape
1881-01-31,18.47395230140494
1881-02-28,18.14725816499023
1881-03-31,18.27011914020499
1881-04-30,17.95010827822289
1881-05-31,18.869718693152592
1881-06-30,19.02871073111578
1881-07-31,18.116367187389738
1881-08-31,17.286243553973446
1881-09-30,16.724836648772897
1881-10-31,16.261989411181354
1881-11-30,16.47864231664487
1881-12-31,15.958754206105079
1882-01-31,15.678764160028743
1882-02-28,15.153861528363038
1882-03-31,15.091670299486745
1882-04-30,14.916997168375302
1882-05-31,14.567103202191758
1882-06-30,14.327404890131673
1882-07-31,15.240559761217828
1882-08-31,15.525429331463034
1882-09-30,16.081106624462315
1882-10-31,15.75558103052656
1882-11-30,15.192670313165339
1882-12-31,15.382128332081967
1883-01-31,15.27025911909857
1883-02-28,14.75759014617622
1883-03-31,15.05125412140164
1883-04-30,15.482067222036674
1883-05-31,15.335497637337067
1883-06-30,15.903388388583796
1883-07-31,15.948783127017029
1883-08-31,15.196810876629849
1883-09-30,15.494692425793458
1883-10-31,15.048056270223839
1883-11-30,15.408218142448874
1883-12-31,14.896403941887169
1884-01-31,14.432821721970727
1884-02-29,14.805960228816714
1884-03-31,14.736023454014473
1884-04-30,14.353453682579477
1884-05-31,13.46505031380491
1884-06-30,12.906876483666865
1884-07-31,13.043931585991672
1884-08-31,13.859813341769325
1884-09-30,13.569154744335725
1884-10-31,13.27325131913416
1884-11-30,13.304437602119732
1884-12-31,13.432292746944762
1885-01-31,13.129817425635967
1885-02-28,13.384817593597964
1885-03-31,13.734194093452514
1885-04-30,13.54854854103006
1885-05-31,13.71137187256194
1885-06-30,13.978784368698355
1885-07-31,14.32665877708933
1885-08-31,15.130410796707158
1885-09-30,15.11628502872425
1885-10-31,15.991023962168986
1885-11-30,16.824034498619024
1885-12-31,16.30447595227853
1886-01-31,16.69231747079766
1886-02-28,17.006648259461006
1886-03-31,16.843266101570144
1886-04-30,16.801716131246312
1886-05-31,16.86319551509784
1886-06-30,17.83149405537689
1886-07-31,17.84584504153222
1886-08-31,17.72391279961928
1886-09-30,18.147143925800037
1886-10-31,18.562381342866576
1886-11-30,18.968312634942848
1886-12-31,18.19405755688645
1887-01-31,17.512222096304964
1887-02-28,17.125366596972327
1887-03-31,17.473213711513765
1887-04-30,17.822983639100723
1887-05-31,18.075445427458252
1887-06-30,17.707695663272997
1887-07-31,17.431460535613088
1887-08-31,16.73984961482072
1887-09-30,16.676629667380155
1887-10-31,15.880666812517322
1887-11-30,15.950712201066784
1887-12-31,15.455513454469953
