date,global_cci
2002-04-30,100.9996
2002-05-31,100.983
2002-06-30,100.8683
2002-07-31,100.7169
2002-08-31,100.5719
2002-09-30,100.432
2002-10-31,100.2836
2002-11-30,100.1818
2002-12-31,100.0461
2003-01-31,99.85091
2003-02-28,99.6832
2003-03-31,99.67278
2003-04-30,99.90652
2003-05-31,100.1684
2003-06-30,100.3264
2003-07-31,100.3896
2003-08-31,100.3832
2003-09-30,100.3907
2003-10-31,100.4587
2003-11-30,100.5841
2003-12-31,100.7159
2004-01-31,100.8519
2004-02-29,100.8414
2004-03-31,100.8044
2004-04-30,100.7707
2004-05-31,100.7502
2004-06-30,100.7895
2004-07-31,100.8436
2004-08-31,100.8455
2004-09-30,100.8218
2004-10-31,100.8268
2004-11-30,100.8793
2004-12-31,100.9663
2005-01-31,101.0359
2005-02-28,101.019
2005-03-31,100.8958
2005-04-30,100.7583
2005-05-31,100.7021
2005-06-30,100.7378
2005-07-31,100.7032
2005-08-31,100.5095
2005-09-30,100.2735
2005-10-31,100.2542
2005-11-30,100.47
2005-12-31,100.7714
2006-01-31,100.9806
2006-02-28,101.0276
2006-03-31,100.995
2006-04-30,100.8979
2006-05-31,100.7344
2006-06-30,100.6451
2006-07-31,100.623
2006-08-31,100.653
2006-09-30,100.7929
2006-10-31,100.9895
2006-11-30,101.0944
2006-12-31,101.1387
2007-01-31,101.1411
2007-02-28,101.0792
2007-03-31,101.0047
2007-04-30,100.9818
2007-05-31,100.9969
2007-06-30,100.9726
2007-07-31,100.9333
2007-08-31,100.7914
2007-09-30,100.6033
2007-10-31,100.3714
2007-11-30,100.1035
2007-12-31,99.89535
2008-01-31,99.68114
2008-02-29,99.38182
2008-03-31,99.02156
2008-04-30,98.57497
2008-05-31,98.13407
2008-06-30,97.78748
2008-07-31,97.6785
2008-08-31,97.7571
2008-09-30,97.76823
2008-10-31,97.51405
2008-11-30,97.28207
2008-12-31,97.15431
2009-01-31,97.09673
2009-02-28,97.11177
2009-03-31,97.34024
2009-04-30,97.78859
2009-05-31,98.23017
2009-06-30,98.55797
2009-07-31,98.76978
2009-08-31,98.96736
2009-09-30,99.17799
2009-10-31,99.27454
2009-11-30,99.30686
