market,code,full,GFC_2008_09,COVID_2020,dotcom_2000_02
bist100,TUR,0.376,0.71,-0.044,
athex,GRC,0.368,0.529,0.962,0.09
smi,CHE,0.577,0.48,0.921,0.69
ibex35,ESP,0.705,0.923,0.942,-0.128
aex,NLD,0.563,0.835,0.953,0.532
ipc,MEX,0.507,0.688,0.94,-0.33
kospi,KOR,0.603,0.887,0.887,0.423
nikkei225,JPN,0.666,0.934,0.969,0.673
