market,kappa_AB,agree_pct
bist100,0.9045,98.84
klci,0.8725,97.43
sti,0.8575,97.48
athex,1.0,100.0
ta125,0.8518,97.02
ta35,0.8518,97.02
hangseng,0.9702,99.31
twse,0.8311,95.38
smi,0.9623,99.06
ibex35,0.9225,97.97
jkse,0.9262,98.15
aex,1.0,100.0
merval,0.9521,98.59
set,0.8453,94.9
hscei,0.5446,78.68
lq45,0.9165,97.44
ipc,0.282,76.33
kospi,0.655,86.12
szse,0.0301,37.39
psei,0.0417,51.61
shanghai,-0.1474,21.97
bovespa,1.0,100.0
nikkei225,0.9505,97.48
