market,rw_pct_level,rw_pct_percentile
bist100,94.22,90.75
klci,90.23,84.06
sti,89.22,88.99
athex,88.41,48.7
ta125,87.59,89.08
ta35,87.59,89.08
hangseng,87.39,7.11
twse,86.71,80.64
smi,86.38,83.8
ibex35,86.04,82.23
jkse,84.99,55.89
aex,84.62,83.87
merval,82.54,82.25
set,82.44,33.14
hscei,82.23,84.01
lq45,80.91,20.8
ipc,70.29,96.14
kospi,69.12,73.37
szse,57.39,24.64
psei,53.9,47.48
shanghai,52.02,14.16
bovespa,50.38,45.59
nikkei225,33.72,17.43
