market,window_start,window_end,T_matched,global_MR,global_RW,global_EXP,country_MR,country_RW,country_EXP
athex,1997-07,2024-01,317,7.3,83.0,9.8,43.5,31.2,25.2
bist100,2004-01,2024-01,240,5.8,38.3,55.8,6.7,45.4,47.9
