market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
sti,0,97.0278,101.9344,1.9963,-0.780932,-0.568075
sti,1,99.3744,101.3656,3.0698,0.002195,-0.289556
sti,2,98.45,101.5789,3.6071,-0.006139,-0.513029
sti,3,96.8856,101.5789,4.1031,-1.52284,-0.343619
sti,4,97.5256,101.4367,2.7019,-0.359307,-0.481645
sti,5,98.5211,101.7922,2.3284,0.027335,-0.429232
sti,6,97.5967,100.5833,3.0399,-0.223717,-0.033932
sti,7,99.3744,101.4367,4.7109,-0.013394,-0.248723
sti,8,97.0278,101.3656,2.097,-0.585712,-0.296061
sti,9,97.7389,99.73,2.3134,-0.130671,-0.007383
sti,10,98.8767,101.8633,3.7913,-0.058655,-0.903037
sti,11,96.7433,101.8633,2.5077,0.207473,-0.498061
sti,12,98.8767,101.8633,2.8223,-0.024206,0.095154
sti,13,98.9478,101.2233,3.122,-0.061722,-0.155887
sti,14,97.17,99.2322,3.1232,-0.575181,-0.027742
sti,15,97.3833,99.9433,4.0482,-0.09311,-0.052426
sti,16,96.9567,102.0767,4.1835,-0.119322,-0.328798
sti,17,97.0278,101.5078,3.128,0.682109,-0.452383
sti,18,97.17,99.6589,4.1178,-0.591824,-0.054033
sti,19,98.5211,101.2944,3.3138,-0.067142,-0.11467
sti,20,97.3833,100.0144,2.4336,-0.033125,-0.036862
sti,21,99.3744,101.7211,1.824,-0.017617,-0.266057
sti,22,97.17,101.8633,4.1924,-0.188113,-1.329639
sti,23,97.0989,99.73,2.4673,-0.238698,-0.042946
sti,24,99.09,102.0056,3.3485,-0.003051,0.17545
sti,25,96.7433,101.1522,1.9969,0.540002,-0.056444
sti,26,99.73,101.7922,3.0805,-0.015524,-0.237028
sti,27,99.3033,101.8633,4.2545,-0.039174,-0.486697
sti,28,97.5256,101.3656,2.7632,-0.040116,-0.494199
sti,29,98.9478,101.7211,3.1494,-0.056957,-0.186255
sti,30,96.7433,99.5878,3.5792,-0.023681,-0.015265
sti,31,97.0989,101.3656,2.0581,0.119044,-0.133814
sti,32,97.3833,99.73,4.2171,-0.912457,-0.052994
sti,33,96.7433,98.7344,5.0741,0.563843,-0.035398
sti,34,98.7344,101.2233,3.8423,-0.071831,-0.456961
sti,35,100.0144,102.1478,3.421,-0.043458,-0.192963
sti,36,97.5967,100.0144,2.8096,-0.036504,-0.026267
sti,37,97.81,101.4367,4.86,0.13293,-0.186087
sti,38,99.3033,102.1478,2.6953,-0.034499,-0.166513
