statistic,observed,n_obs_episodes,null_mean,null_sd,null_p05,null_p50,perm_p_le_obs,observed_percentile,B,seed
episode_mean_excess_pp,-15.043,30.0,0.05,3.994,-6.533,0.064,0.0,0.0,5000,20260722
pooled_EXP_RW_gap_pp,-15.491,,-0.594,3.754,-6.522,-0.744,0.0,0.0,5000,20260722
