rule,market,c1,c2,MR_pct,RW_pct,EXP_pct
abs30,nikkei225,98.663,101.223,14.2,74.5,11.2
abs40,bist100,99.247,101.317,30.6,57.8,11.6
abs40,klci,98.463,101.351,11.6,77.9,10.5
abs40,sti,98.45,101.223,10.1,78.7,11.2
abs40,athex,98.934,101.313,22.3,66.1,11.6
abs40,ta125,98.458,101.383,11.2,78.9,9.9
abs40,ta35,98.458,101.383,11.2,78.9,9.9
abs40,hangseng,98.45,101.152,10.1,77.3,12.6
abs40,twse,98.633,101.317,17.6,70.8,11.6
abs40,smi,98.497,101.207,10.8,78.4,10.8
abs40,ibex35,98.457,101.189,11.4,76.6,11.9
abs40,jkse,99.293,101.284,26.8,63.3,9.9
abs40,aex,98.531,101.383,11.9,78.2,9.9
abs40,merval,99.194,101.253,29.3,58.3,12.4
abs40,set,98.504,101.257,13.0,74.5,12.5
abs40,hscei,99.27,101.263,27.9,60.9,11.2
abs40,lq45,98.497,101.33,13.1,74.9,12.0
abs40,ipc,99.267,101.217,27.1,61.8,11.1
abs40,kospi,98.733,101.257,18.4,69.1,12.5
abs40,szse,99.237,101.23,30.7,57.1,12.2
abs40,psei,99.303,101.366,27.1,63.5,9.4
abs40,shanghai,98.403,100.627,12.4,48.8,38.7
abs40,bovespa,99.341,101.327,30.5,58.9,10.6
abs40,nikkei225,98.663,101.223,14.2,74.5,11.2
