market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
bovespa,34,98.6061,102.0622,2.6602,-0.007963,-0.211268
bovespa,35,97.0618,99.0473,3.5838,-1.03343,-0.01037
bovespa,36,96.9147,99.0473,2.8494,-1.361676,-0.005704
bovespa,37,99.7091,101.6945,2.7348,-0.004606,-0.247409
bovespa,38,98.5325,102.2093,2.7178,-0.009024,-1.496331
bovespa,39,96.9147,101.4739,3.6916,-0.195089,-0.155435
bovespa,40,97.2089,101.2533,3.0674,0.029958,-0.186563
bovespa,41,97.1354,101.6945,3.3059,0.023195,-0.571667
bovespa,42,98.3855,101.9152,3.8049,-0.006714,-0.437879
bovespa,43,98.7531,100.7386,5.5304,0.004493,-0.016808
bovespa,44,98.0178,100.3709,5.1724,-0.07311,-0.002953
bovespa,45,99.1208,101.6945,3.7886,0.011396,-0.120077
bovespa,46,99.1208,101.7681,3.5208,0.011665,-0.405727
bovespa,47,96.7677,101.1063,2.3544,-4.372849,-0.01019
bovespa,48,96.7677,102.1358,3.1405,-1.505067,-0.450981
bovespa,49,96.7677,101.6945,2.0565,0.989065,-0.516404
merval,0,98.2791,101.7872,3.1738,0.019063,-0.544776
merval,1,97.0589,101.0245,2.0973,-0.899314,0.00209
merval,2,96.9826,99.0417,4.3764,-1.607051,-0.005999
merval,3,97.0589,102.1685,3.2358,-1.209545,-0.815382
merval,4,97.3639,100.4907,3.471,-0.041724,-0.002485
merval,5,97.3639,101.9397,1.5436,-0.013817,-0.223358
merval,6,98.8892,102.1685,3.3422,-0.001625,-0.469196
merval,7,97.0589,101.5584,3.6944,-0.598684,-0.263194
merval,8,99.0417,101.9397,3.0088,-0.014363,-0.168656
merval,9,98.5079,101.7109,1.1869,-0.002939,-0.143473
merval,10,97.8215,101.4059,4.4972,0.024481,-0.029772
merval,11,96.9826,102.016,2.7872,-0.989847,-0.484922
merval,12,96.7538,101.7872,3.7669,-2.96277,-0.537497
merval,13,98.5841,101.9397,2.8692,-0.002218,-0.402547
merval,14,97.0589,101.0245,3.6245,-1.109335,-0.021904
merval,15,96.7538,101.4059,4.2588,-1.385371,-0.102537
merval,16,99.3468,102.0922,3.1646,-0.01348,-1.081699
merval,17,97.0589,101.4821,4.7466,-1.484599,-0.255462
merval,18,97.5165,101.4821,4.3143,0.011194,-0.344245
merval,19,99.118,102.016,3.8287,-5.5e-05,0.1895
merval,20,97.7453,100.567,3.4096,0.035478,-0.005127
merval,21,99.9569,101.9397,3.1742,-0.002223,-0.739205
merval,22,96.7538,101.9397,4.4793,-0.964418,-0.65358
merval,23,96.9064,101.4059,5.4133,-0.980511,-0.000604
merval,24,97.2114,101.1771,2.1019,-0.016954,-0.034479
merval,25,98.1266,100.2619,4.3903,-0.004944,-0.001068
merval,26,96.7538,99.3468,3.2685,0.92504,-0.004371
merval,27,97.0589,101.6346,3.9501,-0.623846,-0.567483
merval,28,96.9064,101.4059,5.6818,-0.506409,-0.212589
merval,29,97.8978,101.3296,3.8807,0.002616,-0.382216
merval,30,96.9826,101.7109,3.6691,-0.619522,-0.178456
merval,31,99.8806,102.0922,2.5447,-0.006843,-0.810994
merval,32,96.7538,102.0922,3.3203,-4.417547,-1.143281
merval,33,98.1266,100.567,3.8344,-0.060474,-0.024061
merval,34,96.7538,100.3382,4.652,-0.666502,-0.003163
merval,35,97.0589,101.2533,2.0985,-1.520167,-0.15158
merval,36,96.7538,101.1008,3.4964,3.593284,-0.008901
merval,37,99.8043,101.7872,5.2465,-0.020006,-0.812015
merval,38,96.9826,101.1008,4.4298,-0.15124,-0.010801
merval,39,98.5079,100.872,4.1638,-0.009737,-0.01234
merval,40,97.5165,100.7958,3.4509,-0.031943,-0.004554
merval,41,96.9826,101.8634,2.145,-0.782377,-0.029265
merval,42,96.7538,101.3296,3.8656,0.095936,0.014421
merval,43,98.2791,100.2619,5.2924,0.019341,-0.010794
merval,44,97.8215,101.5584,2.7428,0.005221,-0.115784
merval,45,96.7538,101.3296,4.3149,-1.103233,-0.109052
merval,46,100.1094,102.0922,5.6069,-0.02729,-0.306757
merval,47,99.0417,101.1008,1.7593,-0.003935,0.007116
merval,48,97.2114,101.1771,5.7411,-0.038561,-0.045479
merval,49,99.8043,101.9397,8.2824,-0.030773,-0.005993
ibex35,0,97.3499,101.0418,2.9115,0.089918,-0.006231
ibex35,1,97.7191,101.411,4.0879,-0.036454,-0.329057
ibex35,2,98.4575,100.8203,2.4374,-0.059013,-0.01738
ibex35,3,97.0545,101.411,5.2452,-0.900543,-0.199322
ibex35,4,97.0545,101.7064,2.128,-1.00667,-0.062065
ibex35,5,97.1284,99.7866,2.4188,-0.121045,-0.002967
ibex35,6,99.9342,102.0756,5.5935,-0.040937,-1.084319
ibex35,7,99.9342,102.0017,5.0608,-0.009189,-0.939379
ibex35,8,96.9807,99.122,2.4915,-1.138866,-0.009136
ibex35,9,99.3435,101.854,2.0802,-0.022115,-0.195763
ibex35,10,98.0144,101.1895,5.3457,-0.181721,-0.075956
ibex35,11,97.3499,101.2633,4.9399,-0.898966,-0.161369
ibex35,12,97.1284,101.9279,2.2787,0.025396,-0.497919
ibex35,13,97.2022,101.3372,4.0424,-0.081354,-0.221116
ibex35,14,98.679,101.7802,5.6519,-0.067513,-0.776226
ibex35,15,96.9807,101.1157,2.6142,-1.489843,0.010443
ibex35,16,97.1284,101.854,2.0191,-0.11916,-0.710719
ibex35,17,96.833,102.0756,3.1391,-0.539984,-0.391992
ibex35,18,98.0144,100.7465,3.6831,-0.006196,0.020485
ibex35,19,96.9807,99.122,3.6527,-0.775906,-0.041746
ibex35,20,96.9807,98.9743,4.2922,-0.686045,-0.061428
ibex35,21,99.4912,102.0017,3.2763,-0.010309,-0.212528
ibex35,22,98.236,101.1895,4.2639,-0.11138,-0.162139
ibex35,23,99.0482,101.411,3.396,-0.014604,-0.462701
ibex35,24,98.8267,101.5587,4.3091,-0.104445,-0.033857
ibex35,25,97.5714,101.2633,2.3031,-0.018424,-0.175015
ibex35,26,96.9807,100.3034,2.8351,-0.862834,-0.015458
ibex35,27,98.9005,101.2633,2.4312,-0.006369,-0.202681
ibex35,28,98.4575,101.7064,5.3351,-0.147809,-0.621052
ibex35,29,97.5714,101.854,1.9438,-0.029553,-0.259427
ibex35,30,97.7929,101.411,2.8531,-0.018228,-0.228867
ibex35,31,97.1284,101.2633,6.3957,-0.309091,-0.130307
ibex35,32,96.9807,100.3034,3.0566,-0.025351,-0.002438
ibex35,33,99.9342,101.9279,4.045,-0.050482,-0.050138
ibex35,34,98.6052,101.9279,3.9872,-0.138022,-0.810621
ibex35,35,98.8267,101.411,3.0405,-0.033346,-0.284877
ibex35,36,99.0482,101.6325,3.0169,-0.035247,-0.278789
ibex35,37,97.0545,100.5249,4.7268,-0.262757,-0.047589
ibex35,38,96.7592,98.9005,4.4227,-2.532059,-0.027268
ibex35,39,99.122,101.6325,4.4426,-0.068255,-0.221836
ibex35,40,98.5313,102.0017,4.1178,0.002155,-0.686553
ibex35,41,97.0545,101.7064,2.9523,-0.735266,-0.308114
ibex35,42,97.7929,101.3372,3.1788,0.010107,-0.245852
ibex35,43,96.833,101.2633,2.9342,-0.304054,-0.145649
ibex35,44,98.8267,101.2633,2.0555,0.010611,-0.034846
ibex35,45,97.2761,99.4174,4.8305,-0.517102,-0.042649
ibex35,46,97.0545,101.5587,2.4305,-1.39426,-0.33257
ibex35,47,97.5714,101.854,4.2771,0.112954,-0.800133
ibex35,48,96.7592,99.7127,3.3909,-0.235988,-0.0488
ibex35,49,97.8668,101.4848,3.6883,-0.044047,-0.088138
smi,0,98.2115,101.7059,2.3822,-0.070866,-0.613833
smi,1,96.7853,99.4952,3.3468,-1.826665,-0.003686
smi,2,97.7836,101.1354,2.0678,0.005065,0.008004
smi,3,97.2844,101.3493,1.7756,-0.050076,-0.171207
smi,4,97.7123,102.2051,3.4827,-0.01738,-0.673513
smi,5,97.1418,101.7772,3.7126,-0.073675,-0.176495
smi,6,97.2131,101.278,3.0992,0.058555,-0.122474
smi,7,96.7853,101.1354,1.9266,-2.200009,-0.015613
smi,8,96.9279,101.8485,3.4178,-0.395734,-0.223561
smi,9,96.9279,100.4222,3.2688,-2.21667,-0.006144
smi,10,98.2115,101.9198,6.6642,-0.005922,-0.176935
smi,11,99.1386,101.278,3.9085,-0.015762,-0.284872
smi,12,97.1418,101.1354,2.1887,-0.035966,0.027912
smi,13,99.3525,102.1337,2.2702,-0.006814,-0.672645
smi,14,99.2099,102.2051,3.0397,-0.000652,-0.962483
smi,15,98.2115,100.9927,2.8392,0.018463,0.010082
smi,16,99.4238,102.2051,5.2906,-0.067173,-0.473875
smi,17,100.2083,102.2051,1.5163,0.00436,-0.693911
smi,18,96.9279,101.5632,2.2711,-1.460691,-0.029196
smi,19,97.2844,101.3493,3.0694,0.002987,-0.197244
smi,20,98.9246,102.1337,3.0906,-0.011996,-0.0884
smi,21,97.2844,100.0657,2.7055,-0.038418,-0.003877
smi,22,96.8566,99.7804,3.2765,-0.708478,-0.015694
smi,23,99.2099,102.2051,2.1475,-0.020156,-0.978656
smi,24,96.9279,101.7772,2.4185,-1.032834,-0.446144
smi,25,97.1418,101.7059,3.5541,0.504388,-0.167418
smi,26,99.6378,102.2051,2.8436,-0.023841,-0.713996
smi,27,97.8549,101.4206,2.7823,-0.061275,-0.294873
smi,28,98.3541,101.7772,3.3792,-0.011019,-0.621834
smi,29,98.2115,101.9198,3.2594,-0.01759,-0.865918
smi,30,98.996,101.9198,3.6854,-0.013165,-0.949846
smi,31,96.7853,98.782,4.3709,-0.727059,-0.016073
smi,32,100.137,102.1337,2.2073,-0.007488,-0.531018
smi,33,96.7853,101.4206,1.8082,-1.79872,-0.118898
