market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict,firing_rate_pct,screen_F,screen_p,screen_gate
hangseng,Hong Kong,436,-1.53,1.0734899328859064,-0.3100498386222201,0.9633222329136849,9,422,5,FEAR GAUGE,1.1,1.8157,0.1248,PASS
hscei,Hong Kong (H-shr),394,-1.56,0.9195973154362416,-0.4506761825932651,-0.5126115063760612,9,379,6,FEAR GAUGE,1.5,1.164,0.3263,PASS
kospi,South Korea,353,0.06422818791946328,0.4278523489932886,-0.06397311143581362,0.01812228490889047,62,87,204,BOTH TAILS,57.8,0.333,0.8557,PASS
kosdaq,South Korea (KQ),307,0.0628187919463088,0.19939597315436264,-0.15630449229632942,-0.031179856348289025,42,15,250,BOTH TAILS,81.4,0.7673,0.5472,PASS
nifty50,India,224,-0.41288590604026876,-0.16590604026845668,-0.18870043744569787,-0.0022439779412644226,23,5,196,FEAR GAUGE,87.5,0.6931,0.5975,PASS
kse100,Pakistan,290,-0.41214765100671147,0.6382550335570472,-0.12684314274870054,-0.021628103434916408,25,210,55,FEAR GAUGE,19.0,0.3452,0.8473,PASS
sti,Singapore,436,0.14724832214765127,0.572818791946309,-0.08997709671740163,-0.026713785832277015,84,199,153,BOTH TAILS,35.1,1.2553,0.287,PASS
twse,Taiwan,346,-0.12570469798657702,0.05751677852349002,-0.09618149788367122,0.00845307239492585,42,19,285,BOTH TAILS,82.4,1.274,0.2799,PASS
jkse,Indonesia,433,-1.53,0.6788590604026845,-0.3489157761726771,-0.011170421817336622,9,342,82,BOTH TAILS,18.9,2.9764,0.0192,FAIL
lq45,Indonesia (LQ45),351,-1.66,0.4492617449664429,-0.34652150494719197,-0.015023814234726336,9,153,189,BOTH TAILS,53.8,2.6643,0.0325,FAIL
klci,Malaysia,389,0.055033557046979986,0.5849664429530201,-0.11171443159318396,-0.03212224778115948,61,216,112,BOTH TAILS,28.8,0.3548,0.8407,PASS
set,Thailand,353,-1.65,0.6096644295302016,-0.2756682338910203,-0.0457021130035345,9,275,69,BOTH TAILS,19.5,0.2882,0.8856,PASS
psei,Philippines,436,0.04711409395973165,1.0734899328859064,-0.046542363778865115,0.6844049412630995,69,362,5,FEAR GAUGE,1.1,0.649,0.6279,PASS
asx200,Australia,402,0.04825503355704708,1.0122818791946309,-0.07742541748075664,0.12474047301453997,61,329,12,FEAR GAUGE,3.0,1.9486,0.1017,PASS
aord,Australia (All),436,-1.53,0.9983892617449668,-0.24330170208600438,0.15566648547461498,9,414,13,FEAR GAUGE,3.0,2.1272,0.0766,PASS
nzx50,New Zealand,280,-0.4071812080536912,0.27577181208053725,-0.10091541932976192,-0.007023851301971119,25,44,211,FEAR GAUGE,75.4,1.6749,0.1561,PASS
