market,code,n,sd,skew,excess_kurt,pctile_97.7,pctile_c1,pctile_c2
ipc,MEX,273,2.691,-0.067,-0.799,20.5,41.4,72.5
ibex35,ESP,452,2.678,-0.752,-0.355,24.6,18.6,60.2
smi,CHE,587,1.634,-0.825,0.261,10.9,8.9,76.0
aex,NLD,589,1.486,-0.857,0.112,10.2,10.9,84.0
athex,GRC,469,2.547,-0.732,-0.333,20.7,18.6,69.7
bist100,TUR,241,3.132,0.138,0.039,27.8,19.9,83.8
nikkei225,JPN,502,1.436,-0.464,-0.14,7.0,7.8,42.6
kospi,KOR,301,1.17,-0.558,0.909,4.0,12.6,85.7
