basis,cpi_series,trigger,T,c1,c2,MR_pct,RW_pct,EXP_pct,beta_ex,sig_ex
real_CPI,TURCPIALLMINMEI,cci_TUR,240,94.978,97.063,6.2,11.2,82.5,-0.0988,***
nominal_country(paper),-,cci_TUR,240,95.168,100.853,6.7,45.4,47.9,-0.03409,***
