market,rw_pct_estimated,rw_pct_fixedbands
ipc,70.29,81.4
bovespa,50.38,80.6
merval,82.54,78.31
ibex35,86.04,80.46
smi,86.38,81.92
aex,84.62,80.89
athex,88.41,78.26
ta125,87.59,80.89
ta35,87.59,80.89
bist100,94.22,78.32
nikkei225,33.72,82.34
shanghai,52.02,78.32
szse,57.39,78.55
hangseng,87.39,82.34
hscei,82.23,80.46
kospi,69.12,78.19
sti,89.22,82.34
twse,86.71,78.32
jkse,84.99,82.22
lq45,80.91,78.06
klci,90.23,80.21
set,82.44,78.19
psei,53.9,82.34
