lag,EXP_RW_gap,n_EXP,DK_p,block12_p,block24_p,block36_p,mean_thr_shift_vs_lag0
0,-16.056,615,0.0343,0.0352,0.0192,0.0287,0.0
1,-15.791,615,0.0308,0.0286,0.0255,0.0343,
2,-15.021,615,0.036,0.0424,0.0321,0.0147,
