label,spec,T,c1,c2,alpha1,beta1,se1,tstat1,n1,alpha2,beta2,se2,tstat2,n2,alpha3,beta3,se3,tstat3,n3
S&P500  w/mov drift,1,6377,52.8141,56.1307,0.002789,-0.000365,0.000268,-1.3602,6327,-0.026815,0.0,nan,nan,13,1.766856,-0.259075,0.126354,-2.0504,36
S&P500  w/const drift,2,6377,47.3869,67.8894,0.0,0.000672,0.000176,3.814,6310,-0.004335,0.0,nan,nan,54,0.0,0.005697,0.000513,11.0955,12
S&P500  w/out drift,0,6377,47.3869,67.8894,0.0,4.2e-05,1.9e-05,2.1794,6310,0.0,0.0,nan,nan,54,0.0,0.005055,0.002172,2.3277,12
FTSE100 w/mov drift,1,6259,54.6231,57.6382,0.006312,-0.000729,0.000414,-1.7623,6215,-0.032155,0.0,nan,nan,10,2.193962,-0.261941,0.140782,-1.8606,33
FTSE100 w/const drift,2,6259,47.6884,58.5427,0.0,0.001257,0.000204,6.1758,6193,-0.010435,0.0,nan,nan,33,0.0,0.002797,0.000314,8.9067,32
FTSE100 w/out drift,0,6259,45.8794,63.0653,0.0,2.2e-05,1.6e-05,1.3735,6182,0.0,0.0,nan,nan,54,0.0,0.00202,0.001025,1.9705,22
