market,scheme,n_ok,boundary_frac,degenerate_frac,c1_lo,c1_hi,c1_med,c2_lo,c2_hi,c2_med,MR_lo,MR_hi,MR_med,RW_lo,RW_hi,RW_med,EXP_lo,EXP_hi,EXP_med,bMR_lo,bMR_hi,bMR_med,bRW_lo,bRW_hi,bRW_med,bEXP_lo,bEXP_hi,bEXP_med
bist100,block12,1000,0.003,0.0,97.0124,99.7648,97.5439,100.8488,102.19,102.0321,1.1561,37.5723,4.9133,53.4538,96.5318,90.1734,0.8671,16.7702,4.0462,-0.7972,0.3434,0.0574,0.0,0.0,0.0,-1.0853,0.0005,-0.8466
bist100,block24,1000,0.012,0.001,97.0141,99.7728,97.5407,99.6142,102.1909,102.1265,1.1561,33.8367,4.3353,37.2832,96.5318,90.7514,0.8671,57.5217,3.7572,-0.7918,0.3242,0.0568,0.0,0.0,0.0,-1.5802,0.0226,-0.8818
bist100,block36,1000,0.021,0.0,97.016,99.7506,97.5342,99.2573,102.1912,102.1311,1.4451,30.0723,4.3353,24.5665,95.9538,90.1734,1.1561,71.4017,4.3353,-0.792,0.3346,0.0589,0.0,0.0,0.0,-1.4735,0.0008,-0.8753
nikkei225,wild,1000,0.0,0.0,96.9567,98.5922,97.7389,99.3744,102.1478,100.0144,1.1468,13.0734,4.1284,26.1468,91.5138,37.6147,1.8349,70.8716,57.3394,-0.0116,0.1277,0.0712,0.0,0.0,0.0,-0.2628,0.1913,-0.042
nikkei225,block12,1000,0.016,0.003,96.9255,99.218,97.7911,99.1665,102.0742,100.368,0.9174,24.7821,4.5872,20.1835,92.2018,50.4587,2.2936,77.07,44.8394,-1.5351,0.1278,0.0082,0.0,0.0,0.0,-0.6899,-0.0028,-0.0549
nikkei225,block24,1000,0.036,0.011,96.9233,99.1002,97.7753,99.3415,102.0733,100.6623,0.9174,19.0482,4.1284,19.4897,93.1193,50.9174,2.0585,77.9931,43.3486,-1.5243,0.1261,-0.0145,0.0,0.0,0.0,-0.5315,0.0,-0.0513
nikkei225,block36,1000,0.043,0.011,96.9249,99.3707,97.7745,99.2353,102.0718,100.6775,0.9174,18.3544,4.1284,18.1078,93.8073,50.9174,1.3761,79.1342,42.4312,-1.5189,0.0951,-0.0308,0.0,0.0,0.0,-0.7802,-0.0049,-0.0512
shanghai,wild,1000,0.0,0.01,97.4067,100.2433,99.7067,100.78,102.2367,102.0833,3.7572,47.3988,40.7514,44.7254,91.6185,54.0462,1.1561,31.5029,2.8902,-0.167,0.005,-0.0848,0.0,0.0,0.0,-0.4552,0.0234,-0.3319
shanghai,block12,1000,0.0,0.053,97.3451,100.6072,98.6832,100.3717,102.5591,101.7357,2.0231,64.1835,14.1618,32.0737,93.0708,60.9827,0.0,51.4451,6.3584,-0.9813,0.0499,-0.1308,0.0,0.0,0.0,-1.0144,0.0649,-0.1637
shanghai,block24,1000,0.006,0.059,97.3737,100.6171,99.0372,100.6,102.5865,101.7319,1.7341,67.3916,17.1965,31.1994,92.7746,62.4277,0.0,47.4061,6.9364,-0.9813,0.1173,-0.1425,0.0,0.0,0.0,-0.9987,0.065,-0.201
shanghai,block36,1000,0.016,0.078,97.3645,100.6292,99.0512,100.5986,102.5916,101.224,2.0231,74.8555,19.9422,24.5592,91.6257,63.0058,0.0,50.289,6.3584,-0.7796,0.0787,-0.1425,0.0,0.0,0.0,-0.4069,0.0728,-0.1771
szse,wild,1000,0.0,0.001,97.32,99.7733,99.2367,100.6933,102.2267,101.7667,3.4783,41.4493,30.7246,50.7246,92.1739,62.6087,1.4493,36.2319,5.2174,-0.2555,-0.0086,-0.1268,0.0,0.0,0.0,-0.8947,0.0167,-0.6307
szse,block12,1000,0.002,0.0,97.3466,100.151,98.4471,100.6012,102.2858,101.7154,1.7391,50.4348,11.8841,41.7319,93.913,63.7681,1.1522,48.4058,8.9855,-0.6758,0.1218,-0.1675,0.0,0.0,0.0,-1.174,0.0799,-0.2246
szse,block24,1000,0.004,0.017,97.3485,100.1694,98.2802,100.6054,102.2906,101.2639,1.7391,55.3696,11.8841,37.0942,92.4638,63.6232,0.8696,48.6957,9.8551,-0.6759,0.0393,-0.1717,0.0,0.0,0.0,-1.0619,0.0826,-0.2088
szse,block36,1000,0.01,0.021,97.3484,100.1892,98.273,100.605,102.2976,101.0892,1.7391,57.6957,11.5942,36.5145,91.0145,63.7681,0.8696,48.9928,10.4348,-0.6466,-0.0096,-0.1674,0.0,0.0,0.0,-0.5272,0.0853,-0.2088
hangseng,wild,1000,0.0,0.0,96.9567,99.2322,98.3078,101.1522,102.0767,102.0056,1.1468,25.4587,8.2569,65.9977,96.5596,88.7615,2.2936,12.6147,2.5229,-0.9093,0.5472,-0.1568,0.0,0.0,0.0,-1.1763,0.0337,-0.8716
hangseng,block12,1000,0.016,0.004,96.8442,100.0374,98.0182,99.1276,102.0673,101.6705,0.9174,41.7489,7.3394,22.0126,95.8716,84.633,1.1468,73.6583,5.7339,-0.9778,0.4157,-0.1614,0.0,0.0,0.0,-0.9192,0.0,-0.2946
hangseng,block24,1000,0.022,0.005,96.8482,100.0432,98.4414,99.2315,102.0652,101.6613,1.1468,42.219,8.2569,25.2122,95.1835,83.2569,1.3704,72.7351,5.7339,-0.8954,0.3854,-0.1724,0.0,0.0,0.0,-0.9567,0.0265,-0.2736
hangseng,block36,1000,0.036,0.007,96.8412,100.0473,98.0495,99.0741,102.0641,101.6767,1.3761,39.4495,7.1101,22.6835,95.1835,84.633,0.9174,74.5528,5.5046,-0.8954,0.4036,-0.1798,0.0,0.0,0.0,-0.9551,0.0332,-0.3276
hscei,wild,1000,0.0,0.002,96.833,99.2697,97.8668,101.04,101.7802,101.3372,1.0152,27.9188,6.3452,60.1523,90.8629,83.2487,4.5685,17.8871,10.4061,-1.4959,0.3247,-0.2874,0.0,0.0,0.0,-0.31,0.0203,-0.1589
hscei,block12,1000,0.026,0.054,96.8464,101.3133,97.6445,100.3577,103.2793,101.2664,1.0152,85.7995,5.3299,14.2005,95.9391,82.2335,0.0,50.3299,9.7716,-1.4452,0.3568,-0.421,0.0,0.0,0.0,-1.0185,1.7867,-0.1532
hscei,block24,1000,0.036,0.057,96.8591,101.3081,97.6617,100.1355,103.2799,101.2661,1.0152,88.0711,5.8376,11.9289,95.9391,80.9645,0.0,54.0673,10.9137,-1.4316,0.3567,-0.3602,0.0,0.0,0.0,-0.6552,1.7867,-0.1335
hscei,block36,1000,0.044,0.05,96.8509,101.3118,97.6473,99.6261,103.2833,101.2533,1.5228,82.2589,5.3299,17.7411,94.4226,80.0761,0.0,61.9416,12.4365,-1.4192,0.3245,-0.5606,0.0,0.0,0.0,-0.9192,0.0819,-0.1333
kospi,wild,1000,0.0,0.002,96.9746,99.1921,98.2745,101.2567,102.1742,101.4096,1.4164,29.4618,9.6317,57.7762,92.068,80.3116,2.2663,12.4646,9.915,-0.9329,0.8659,0.1078,0.0,0.0,0.0,-0.3599,0.1766,-0.1442
kospi,block12,1000,0.013,0.053,96.9546,101.4498,97.5523,99.0019,103.4261,101.4368,1.1331,89.2422,3.966,10.7578,95.7507,84.7025,0.0,71.9759,8.4986,-1.348,0.1928,-1.0294,0.0,0.0,0.0,-0.7088,0.2655,-0.1169
kospi,block24,1000,0.034,0.055,96.9715,101.85,97.5488,98.9826,103.7997,101.4394,1.4164,90.3754,3.3994,9.6246,96.6006,84.9858,0.0,73.3782,6.7989,-1.2342,0.1058,-1.0961,0.0,0.0,0.0,-0.9152,0.2774,-0.1081
kospi,block36,1000,0.038,0.045,96.9626,101.8268,97.5323,98.9802,103.7824,101.6804,1.1331,89.5255,3.3994,10.4745,96.6006,86.6856,0.0,74.5113,5.6657,-1.2144,0.0667,-1.1107,0.0,0.0,0.0,-1.3445,0.1867,-0.1039
sti,wild,1000,0.0,0.0,97.0278,99.3033,97.8811,101.1522,102.1478,101.5078,1.3761,27.0642,5.7339,62.3853,93.578,86.9266,1.8349,12.6147,6.8807,-0.0989,1.5266,0.0263,0.0,0.0,0.0,-0.618,0.1486,-0.2853
sti,block12,1000,0.008,0.028,97.3154,100.2128,97.9086,100.0289,102.2255,101.6242,1.3761,52.7523,8.2569,17.8899,94.0367,82.7982,0.6709,51.8578,6.6514,-0.9146,0.2926,-0.0519,0.0,0.0,0.0,-1.1588,0.0421,-0.2804
sti,block24,1000,0.018,0.029,97.3172,100.2075,98.3617,99.8597,102.2069,101.6647,1.3761,59.5126,8.945,18.3314,93.8131,81.1927,0.0,57.3394,7.1101,-0.9648,0.1896,-0.0592,0.0,0.0,0.0,-1.1647,0.0528,-0.2848
sti,block36,1000,0.026,0.029,97.3118,100.1655,97.9201,99.8633,102.2064,101.6647,1.3761,54.1399,8.7156,22.2305,94.7305,81.6514,0.0,57.1445,7.1101,-0.9648,0.0629,-0.0707,0.0,0.0,0.0,-1.1966,0.0227,-0.2973
twse,wild,1000,0.0,0.0,96.9467,98.5567,97.0233,100.8547,102.2367,101.3933,1.4451,15.0289,1.7341,53.75,97.1098,86.9942,1.1561,27.276,10.9827,-1.2286,0.0601,-0.7748,0.0,0.0,0.0,-1.4312,1.2304,-0.22
twse,block12,1000,0.004,0.0,97.0076,98.9279,97.805,100.0753,102.2607,101.4799,1.1561,19.9566,4.6243,40.1662,96.2428,87.2832,1.1561,54.935,5.9249,-1.1812,0.1323,-0.1618,0.0,0.0,0.0,-1.6473,0.3781,-0.2058
twse,block24,1000,0.007,0.002,97.0063,98.6506,97.7948,99.7725,102.2671,101.4657,1.1561,17.6445,4.6243,30.9176,96.5318,88.1503,1.1561,62.4494,5.2023,-0.9606,0.1182,-0.266,0.0,0.0,0.0,-1.5934,0.2943,-0.1568
twse,block36,1000,0.014,0.001,97.0082,98.6656,97.7915,99.8133,102.2662,101.4296,1.1561,17.052,4.3353,32.0809,96.8208,87.8613,0.8671,61.8714,5.4913,-0.8839,0.1106,-0.266,0.0,0.0,0.0,-1.4312,0.2573,-0.0503
jkse,wild,1000,0.0,0.0,97.3022,99.2222,97.8,101.2133,101.9956,101.2844,2.7714,25.4042,5.0808,64.6478,92.8406,86.1432,2.7714,10.6236,9.9307,-0.0638,0.054,0.0124,0.0,0.0,0.0,-0.4748,-0.0808,-0.3052
jkse,block12,1000,0.002,0.001,97.5255,99.6651,97.8447,100.8115,102.2149,101.3525,1.3857,39.5035,8.3141,49.1859,94.2263,79.9076,1.3857,24.2494,9.4688,-1.1494,0.1288,-0.0171,0.0,0.0,0.0,-0.745,0.1853,-0.3123
jkse,block24,1000,0.013,0.014,97.5205,100.1825,97.8309,100.7094,102.2273,101.3527,1.3857,47.8349,8.545,41.3106,95.612,78.06,0.918,33.037,9.6998,-1.1584,0.0864,-0.019,0.0,0.0,0.0,-0.8696,0.1853,-0.2922
jkse,block36,1000,0.023,0.012,97.5207,100.1843,97.8286,100.2096,102.227,101.3453,1.3857,45.739,8.776,41.5531,94.4573,76.6744,0.6928,36.3048,10.3926,-1.1494,0.0533,-0.0159,0.0,0.0,0.0,-0.8696,0.1853,-0.2909
lq45,wild,1000,0.001,0.001,97.1954,99.1861,97.8079,101.2533,101.7893,101.3299,2.5641,29.3447,6.2678,60.3989,90.0285,82.906,4.8433,12.5356,11.9658,-0.094,0.0729,0.0117,0.0,0.0,0.0,-0.5667,-0.193,-0.3819
lq45,block12,1000,0.005,0.022,97.5145,100.2455,97.8338,100.7599,102.2402,101.3304,1.4245,52.1652,9.4017,37.0299,92.8775,76.6382,0.8547,28.7749,10.2564,-1.1888,0.1248,-0.0405,0.0,0.0,0.0,-0.9342,0.0793,-0.3563
lq45,block24,1000,0.019,0.051,97.3021,101.1178,97.8149,99.8657,103.1106,101.3309,1.7094,90.0285,9.1168,9.9715,93.4473,74.0741,0.0,57.8561,11.1111,-1.2033,0.125,-0.0356,0.0,0.0,0.0,-0.613,0.0793,-0.288
lq45,block36,1000,0.057,0.065,96.0493,100.3015,97.8059,97.9962,102.2552,101.3172,0.0,75.5057,8.2621,11.3889,93.7322,71.51,0.0,86.0399,11.1111,-1.1888,0.1138,-0.0341,0.0,0.0,0.0,-0.6842,0.0793,-0.2443
klci,wild,1000,0.001,0.003,96.9083,99.2776,97.0564,101.2767,102.2392,101.4247,1.2853,27.7635,1.5424,62.7057,97.4293,89.4602,1.0283,11.3111,8.9974,-1.5744,0.0572,-1.2437,0.0,0.0,0.0,-0.8786,0.13,-0.2891
klci,block12,1000,0.018,0.034,96.9221,101.2967,97.7954,101.0266,103.2533,101.4369,1.2853,83.3162,4.6272,16.6838,95.3728,83.9332,0.0,22.1208,8.9974,-1.3268,0.1864,-0.2708,0.0,0.0,0.0,-0.8584,0.0596,-0.2612
klci,block24,1000,0.036,0.009,96.93,99.4745,97.5731,100.8826,102.2465,101.4102,1.2853,34.7237,3.599,46.7802,95.6298,84.5758,1.0283,25.9961,9.5116,-1.2972,0.0798,-1.0858,0.0,0.0,0.0,-0.8767,0.0516,-0.2425
klci,block36,1000,0.044,0.008,96.9333,99.4024,97.5526,100.2044,102.2464,101.4391,1.2853,35.482,3.3419,38.0334,95.8869,83.8046,0.7712,45.2763,10.2828,-1.273,0.0547,-1.0936,0.0,0.0,0.0,-0.8767,0.0561,-0.2365
set,wild,1000,0.001,0.002,97.1276,99.2705,97.7393,101.1802,102.1742,101.3331,2.2663,30.3754,5.0992,57.2238,92.9178,83.0028,2.2663,13.3144,11.898,-0.0444,0.0974,0.0536,0.0,0.0,0.0,-0.5001,0.0021,-0.2339
set,block12,1000,0.012,0.036,97.5248,101.1786,98.0191,101.0516,103.1749,101.2473,1.4164,84.1431,9.3484,13.5623,94.0581,77.3371,0.0,28.9306,10.1983,-1.0911,0.2599,-0.0229,0.0,0.0,0.0,-0.7532,25.8655,-0.2082
set,block24,1000,0.02,0.039,97.5181,100.3357,97.8417,100.0766,102.3019,101.2442,1.1331,53.5552,8.7819,24.915,95.1912,78.4703,0.0,60.0779,8.7819,-1.0911,0.1889,-0.0228,0.0,0.0,0.0,-1.2591,25.8655,-0.1971
set,block36,1000,0.081,0.082,95.97,100.4235,97.8273,97.9589,102.3943,101.2314,0.0,64.5892,7.6487,11.3314,95.4674,77.3371,0.0,86.6856,10.1983,-1.0895,0.1208,-0.0198,0.0,0.0,0.0,-1.261,25.8655,-0.184
psei,wild,1000,0.0,0.023,96.8856,100.1567,99.9433,100.5833,102.2189,102.1478,0.9174,44.9541,40.5963,37.3681,97.4771,56.1927,1.1468,41.9725,1.8349,-1.1481,1.3058,-0.0285,0.0,0.0,0.0,-0.7673,0.1242,-0.3019
psei,block12,1000,0.008,0.023,97.0041,100.2174,98.2461,99.4884,102.3018,101.428,1.1468,55.281,8.2569,24.5298,96.3303,75.8028,0.2294,66.9897,6.422,-1.3868,0.057,-0.0536,0.0,0.0,0.0,-0.9243,1.5822,-0.1971
psei,block24,1000,0.023,0.031,97.0057,100.2755,97.5767,99.0917,102.3,101.4123,1.1468,57.3509,4.1284,20.8716,97.0183,79.8165,0.0,72.2649,6.1927,-1.3868,0.0519,-0.4464,0.0,0.0,0.0,-0.9444,1.5822,-0.1876
psei,block36,1000,0.046,0.022,97.005,100.2024,97.5587,99.0665,102.3011,101.2839,1.3761,52.758,3.4404,20.1778,97.4771,81.078,0.6881,75.2408,8.2569,-1.3537,0.0331,-0.9123,0.0,0.0,0.0,-0.8315,1.5822,-0.1748
