market,start,end,start_year,length,excess_pp
hscei,1997-06,2001-01,1997,44,-20.048
kospi,1997-06,2001-01,1997,44,-2.221
twse,1997-08,1998-08,1997,13,-21.521
jkse,1997-06,1998-08,1997,15,-20.089
lq45,1997-06,1998-08,1997,15,-15.926
klci,1997-07,1997-09,1997,3,-91.933
set,1997-06,2001-01,1997,44,-16.163
